"BusID","Latitude","Longitude","Zone"
1,52.25122049,8.070045459,"1"
2,52.29693228,8.353353937,"1"
3,51.88264645,8.719361326,"1"
5,51.91011822,9.3203,"1"
6,51.98980717,9.2579,"1"
7,52.10915302,9.335118766,"1"
9,51.75226522,9.584495906,"1"
10,51.58135481,9.899495962,"Import/Export_1"
11,52.10708672,8.752474415,"1"
12,52.33814691,8.693179477,"1"
13,52.36536775,8.94369911,"1"
14,52.4127104,8.834679312,"1"
15,52.48212518,8.947082275,"1"
16,52.30160221,9.1937,"1"
17,52.36250318,9.660452363,"1"
18,52.603019,9.395527054,"1"
19,52.46354164,9.422562808,"1"
20,52.4889931,9.7537,"1"
21,52.44547418,10.1409,"1"
22,52.48601236,10.3261,"1"
23,52.4817812,10.56375888,"1"
24,52.72032345,10.62566641,"3"
25,52.4645323,10.82763329,"1"
27,52.15812588,10.4746,"1"
28,52.12980798,10.0871,"1"
29,52.15017967,9.947763763,"1"
31,52.20512352,9.8317,"1"
32,52.29461116,10.35529966,"1"
33,52.64052451,9.204042675,"1"
34,52.57707379,9.455461122,"1"
35,52.603019,9.648223,"1"
37,52.8200495,9.3515,"1"
39,52.91600975,8.85290958,"2"
40,53.047357,8.820570864,"2"
41,53.1957868,8.650382229,"2"
42,53.34993112,8.828200519,"2"
43,52.71017268,9.5906,"1"
44,53.12009845,9.5,"2"
45,53.1107593,9.6928,"2"
46,53.00365653,9.8929,"2"
47,53.1963017,9.9092,"2"
49,53.64921827,9.908277084,"2"
50,53.68529409,9.666176658,"2"
52,53.48807929,9.156115867,"2"
53,53.55070175,8.602444441,"2"
54,53.72032928,8.661483164,"2"
55,54.06079759,8.932421156,"2"
56,53.89887566,9.17539155,"2"
57,53.76070699,9.446,"2"
58,53.7982989,9.430750891,"2"
59,53.96741859,9.597318868,"2"
60,54.07872993,9.986062373,"2"
61,53.96906214,10.46359245,"2"
62,54.049762,10.25340208,"2"
65,53.59950335,10.12614877,"2"
67,53.81882499,10.2492,"2"
68,53.46673479,10.4895,"3"
70,52.89277731,10.8752,"3"
71,52.84481988,10.67287728,"3"
72,52.77514085,10.5411,"3"
73,52.90609082,10.461,"3"
75,52.95348282,11.2095,"3"
76,53.19401013,11.04104,"3"
77,53.189049,11.3791,"3"
78,53.41248263,11.1017,"3"
79,53.6,10.8471,"3"
80,53.7,11.37326028,"3"
82,53.1987855,12,"3"
83,52.99812261,12.0104,"3"
85,52.9405948,12.39144981,"3"
86,52.92460105,12.63412798,"3"
87,52.90846656,12.79269494,"3"
88,53.14766093,12.45752234,"3"
89,53.19714732,13.1920365,"3"
91,53.56,12.666644,"3"
93,53.49227081,12.24302265,"3"
94,53.54988673,12.09361533,"3"
95,53.42669678,12.0788,"3"
96,53.3338041,11.9039,"3"
97,53.47488147,11.6184,"3"
98,53.70407892,11.8287,"3"
99,53.74282447,11.9966,"3"
100,53.76865477,12.28705505,"3"
101,53.65738539,12.5321,"3"
102,53.56131536,12.512,"3"
103,53.76090568,12.58100965,"3"
104,54.0497212,12.5405391,"3"
106,54.09291807,12.13061866,"3"
107,54.33778772,12.69307448,"3"
108,54,12.76124013,"3"
109,53.98782005,13.03042139,"3"
110,54.0522274,13.24390719,"3"
111,53.59372993,13.19865011,"3"
112,54.36631804,13.44314915,"3"
113,52.26603138,9.7162,"1"
114,52.274939,10.514143,"1"
117,52.50293267,8.340377708,"1"
118,53.06913042,11.204,"3"
119,54.33,8.66,"Import/Export_2"
120,53.14,13.44,"Import/Export_3"
